Comment,Designator,Footprint,LCSC
10u 50V,"C2,C4,C5,C6,C8,C10",Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C13585
100n 50V,"C1,C3,C7,C9",Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
3.3V,D1,Diode_SMD:D_MELF,C8056
AO3400A,Q1,Package_TO_SOT_SMD:SOT-23,C20917
AO3401A,"Q2,Q3,Q4,Q5",Package_TO_SOT_SMD:SOT-23,C15127
2k2,"R8,R11",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17520
10k,R12,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
47R,R13,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17714
1k,R15,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513
3k3,"R14,R16",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C26010
5k6,R3,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4382
5k1,R4,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C27834
0R,"R5,R6",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
4k7,R7,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17673
0R DNF,"R1,R2,R9,R10",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
OPAMP,U2,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C7433
