"Source:","/home/ivica/PCB/lipo-discharge-protection-board/lipo-discharge-protection-board/lipo-discharge-protection-board.sch"
"Date:","Wed 29 Sep 2021 00:59:58 BST"
"Tool:","Eeschema 5.1.10-88a1d61d58~90~ubuntu20.04.1"
"Component Count:","50"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","100n 50V","","~","",""
"C2","100n 50V","","~","",""
"C3","100n 50V","","~","",""
"C4","100n 50V","","~","",""
"C5","100n 50V","","~","",""
"C6","100n 50V","","~","",""
"C7","100n 50V","","~","",""
"C8","100n 50V","","~","",""
"C9","100n 50V","","~","",""
"C10","100n 50V","","~","",""
"C11","100n 50V","","~","",""
"C12","100n 50V","","~","",""
"C13","100n","","~","",""
"D1","3.3V","","~","",""
"J1","XT60","Connector_AMASS:AMASS_XT60-F_1x02_P7.20mm_Vertical","~","",""
"J2","2_PIN_SCREW","Connector_AMASS:AMASS_XT60-F_1x02_P7.20mm_Vertical","~","",""
"J3","Barrel_Jack","","~","",""
"J4","Screw_Terminal_01x04","","~","",""
"J5","Screw_Terminal_01x04","","~","",""
"J6","Conn_02x02_Odd_Even","","~","",""
"J7","Conn_02x02_Odd_Even","","~","",""
"J8","Conn_02x04_Odd_Even","","~","",""
"Q1","AO3400A","","~","",""
"Q2","AO3401A","","~","",""
"Q3","AO3401A","","~","",""
"Q4","AO3401A","","~","",""
"Q5","AO3401A","","~","",""
"R1","0","","~","",""
"R2","0R","","~","",""
"R3","5k6","","~","",""
"R4","5k1","","~","",""
"R5","0","","~","",""
"R6","0R","","~","",""
"R7","4k7","","~","",""
"R8","2k2","","~","",""
"R9","0R","","~","",""
"R10","0R","","~","",""
"R11","2k2","","~","",""
"R12","10k","","~","",""
"R13","47R","","~","",""
"R14","3k3","","~","",""
"R15","1k","","~","",""
"R16","3k3","","~","",""
"R17","3k3","","~","",""
"R18","3k3","","~","",""
"R19","3k3","","~","",""
"RV1","10k","","~","",""
"U1","XL6009_module","","","",""
"U2","XL6009_module","","","",""
"U3","OPAMP","","~","C440198",""
