Comment,Designator,Footprint,LCSC
100n 50V,"C1,C2,C7,C10,C11",Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
10u 50V,"C3,C4,C5,C6,C8,C9",Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C13585
3.3V,D1,Diode_SMD:D_MELF,C8056
AO3400A,"Q1,Q2",Package_TO_SOT_SMD:SOT-23,C20917
AO3401A,"Q3,Q4,Q5,Q6,Q7",Package_TO_SOT_SMD:SOT-23,AO3401A
2k2,"R8,R9,R12",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17520
10k,R14,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
47R,"R13,R15",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17714
1k,"R17,R19",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513
3k3,"R16,R18,R20,R21",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C26010
220R,R22,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17557
330R,R23,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17630
5k6,R3,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4382
5k1,R4,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C27834
4k7,R7,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17673
OPAMP,"U2,U3",Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C7433
L7805,U4,Package_TO_SOT_SMD:SOT-89-3_Handsoldering,C71136
